Nombre	Descripcion	Latitud	Longitud	Tipo	Clase_vial	Nombre_vial	Numero_vial	Codigo_postal
Basílica Jesús de Medinaceli	Sin descripcion	40.41401835410496	40.41401835410496	TemplosIglesiasCatolicas	PLAZA	JESUS	2	28014
Basílica La Milagrosa	Sin descripcion	40.436738433323576	40.436738433323576	TemplosIglesiasCatolicas	CALLE	GARCIA DE PAREDES	45	28010
Basílica Pontificia de San Miguel	Sin descripcion	40.414203159177625	40.414203159177625	MonumentosEdificiosArtisticos	CALLE	SAN JUSTO	4	28005
Capilla de San Isidro	Sin descripcion	40.410034722621276	40.410034722621276	MonumentosEdificiosArtisticos	CALLE	AGUILA	1	28005
Catedral Santa María la Real de la Almudena	Su construcción comienza a finales del siglo XIX por el Marqués de Cubas, sobre el primer recinto amurallado del Madrid musulmán, y finaliza en el año 1993.	40.415547923977506	40.415547923977506	MonumentosEdificiosArtisticos	CALLE	BAILEN	10	28013
Concepción Real de Calatrava	Sin descripcion	40.418196333786035	40.418196333786035	MonumentosEdificiosArtisticos	CALLE	ALCALA	25	28014
Convento de las Comendadoras de Santiago	El templo fue construido entre 1667 y 1679 por Manuel del Olmo y José del Olmo. El convento data del siglo XVIII  y es obra de Francisco de Sabatini. Es destacable la iglesia de planta cruciforme con gran cúpula central y cuatro exedras semicirculares, así como la sacristía de planta elíptica construida entre 1745 y 1754 por Francisco Moradillo.	40.4273968151307	40.4273968151307	MonumentosEdificiosArtisticos	PLAZA	COMENDADORAS	10	28015
Ermita Virgen del Puerto	Sin descripcion	40.41556461689203	40.41556461689203	MonumentosEdificiosArtisticos	PASEO	VIRGEN DEL PUERTO	4	28005
Ermita de San Isidro	Sin descripcion	40.40061741587043	40.40061741587043	MonumentosEdificiosArtisticos	PASEO	ERMITA DEL SANTO	72	28019
Iglesia Catedral de las Fuerzas Armadas	Sin descripcion	40.414889947123754	40.414889947123754	MonumentosEdificiosArtisticos	CALLE	SACRAMENTO	11	28005
Iglesia Convento del Santísimo Cristo del Pardo	Sin descripcion	40.51942057602382	40.51942057602382	TemplosIglesiasCatolicas	PISTA	CRISTO DE EL PARDO	11	28048
Iglesia Corpus Christi	Sin descripcion	40.41481486646874	40.41481486646874	MonumentosEdificiosArtisticos	PLAZA	CONDE DE MIRANDA	3	28005
Iglesia Esclavas del Sagrado Corazón de Jesús	Sin descripcion	40.37860811584415	40.37860811584415	TemplosIglesiasCatolicas	CALLE	SANTA RAFAELA MARIA DEL SAGRADO CORAZON	112	28053
Iglesia Madres Dominicas	Sin descripcion	40.43551247413873	40.43551247413873	TemplosIglesiasCatolicas	CALLE	CLAUDIO COELLO	112	28006
Iglesia Monasterio Santo Domingo el Real	Sin descripcion	40.43599250690999	40.43599250690999	TemplosIglesiasCatolicas	CALLE	CLAUDIO COELLO	141	28006
Iglesia Nuestra Señora de Lourdes y San Justino. Iglesia de la Renovación Carismática	Sin descripcion	40.40410342889008	40.40410342889008	TemplosIglesiasCatolicas	CALLE	SAN JUAN DE MATA	30	28011
Iglesia Nuestra Señora de Montserrat	Sin descripcion	40.42764597271771	40.42764597271771	TemplosIglesiasCatolicas	CALLE	SAN BERNARDO	79	28015
Iglesia Nuestra Señora de la Bien Aparecida	Sin descripcion	40.413185012451336	40.413185012451336	TemplosIglesiasCatolicas	CALLE	PIO BAROJA	10	28009
Iglesia Nuestra Señora de la Paz	Sin descripcion	40.42057003126173	40.42057003126173	TemplosIglesiasCatolicas	CALLE	DOCTOR ESQUERDO	44	28007
Iglesia Padre Trinitarios	Sin descripcion	40.414129374303215	40.414129374303215	TemplosIglesiasCatolicas	CALLE	ECHEGARAY	30	28014
Iglesia San Antonio de los Alemanes	Sin descripcion	40.422294329828986	40.422294329828986	MonumentosEdificiosArtisticos	CALLE	PUEBLA	20	28004
Iglesia San Ignacio de los Vascos	Sin descripcion	40.41433357305621	40.41433357305621	TemplosIglesiasCatolicas	CALLE	PRINCIPE	31	28012
Iglesia San Ildefonso	El monumento conmemorativo alberga los restos hallados en la cripta del convento. Con la colocación de los restos de Miguel de Cervantes en la nave de la actual iglesia del siglo XVIII  se cumple la voluntad testamentaria del autor de 'El Quijote'. Miguel de Cervantes, que fue enterrado en la primitiva iglesia el 23 de abril de 1616, expresó en su última voluntad descansar allí en agradecimiento a los Trinitarios que le liberaron de los cinco años y medio de cautiverio en Argel, en manos de los piratas berberiscos.  Descripción monumental. Construido por Marcos López entre 1673 y 1688 con gran austeridad constructiva y decorativa.	40.41367254153843	40.41367254153843	MonumentosEdificiosArtisticos	CALLE	LOPE DE VEGA	18	28014
Iglesia San José de la Montaña	Sin descripcion	40.431102895456284	40.431102895456284	TemplosIglesiasCatolicas	CALLE	FERNANDEZ DE LA HOZ	16	28010
Iglesia San Juan de Sahagún	Sin descripcion	40.46246424310469	40.46246424310469	TemplosIglesiasCatolicas	CALLE	MADRIGAL	6	28035
Iglesia San Pascual	Sin descripcion	40.42115211611733	40.42115211611733	TemplosIglesiasCatolicas	PASEO	RECOLETOS	11	28004
Iglesia San Pedro el Viejo	Sin descripcion	40.41320112124687	40.41320112124687	MonumentosEdificiosArtisticos	CALLE	NUNCIO	14	28005
Iglesia de San Antón	Sin descripcion	40.42413633753997	40.42413633753997	TemplosIglesiasCatolicas	CALLE	HORTALEZA	63	28004
Iglesia del Espíritu Santo	Sin descripcion	40.441930828600455	40.441930828600455	TemplosIglesiasCatolicas	CALLE	SERRANO	125	28006
Madres Carmelitas - Maravillas (capilla)	Sin descripcion	40.425568693198244	40.425568693198244	TemplosIglesiasCatolicas	CALLE	PRINCIPE DE VERGARA	23	28001
Monasterio de Benedictinas	Sin descripcion	40.422820373636355	40.422820373636355	MonumentosEdificiosArtisticos	CALLE	SAN ROQUE	9	28004
Monasterio de las Descalzas Reales	Convento fundado por la Princesa Juana de Austria, transformando un antiguo palacio de su madre Isabel de Portugal.	40.418233359889484	40.418233359889484	MonumentosEdificiosArtisticos	PLAZA	DESCALZAS	3	28013
