Nombre	Descripcion	Latitud	Longitud	Tipo	Clase_vial	Nombre_vial	Numero_vial	Codigo_postal
Sala Vesta	Instalada en el lugar que ocupaba uno de los clubs de jazz más prestigiosos de Madrid, el ya desparecido Bogui Jazz, se encuentra la Sala Vesta, un lugar que da cabida a todo tipo de sonidos y eventos.Desde conciertos de los grupos de música más consagrados hasta los más novedosos, sesiones de DJ o jam sesions, son algunas de las muchas actividades musicales de la agenda de esta sala que posee una estupenda acústica y un aforo de 174 personas. Pero no todo es música en Vesta, también tienen espacio para noches de micros abiertos, espectáculos de comedia, podcast con público en directo o noches canallas de cabaret y burlesque, entre otras nuevas experiencias e ideas.	40.422978800000	-3.695632800000	Clubs	Calle	del Barquillo	 29	28004
Casino Gran Madrid Torrelodones	A las afueras de la ciudad, en Torrelodones, el Gran Casino Madrid combina la atracción por el juego con el gusto por la gastronomía y los conciertos. Un espacio multidisciplinar con el azar como eje vertebrador.  Además de los juegos de azar, el casino cuenta con una sala de realidad virtual única en Europa, VRBlack, en la que se puede participar en varios juegos.Su oferta gastronómica es variada, compuesta por el restaurante Zero, donde se puede degustar una cocina tradicional, a la par que vanguardista, elaborada con productos de mercado de gran calidad; el restaurante Mandalay, elegante espacio de estilo vintage en el que se puede disfrutar de alta cocina internacional con espectáculo incluido; y el Cubik Gastro Market, un nuevo concepto de buffet donde deleitarse con platos sorprendentes ambientada con música en directo. 	40.565646800000	-3.913977500000	Clubs	Calle	Autovía A6 (Madrid-Coruña) salida 27	0	28250
Gran Casino Aranjuez	En el Gran Casino Aranjuez, además de al juego, le dedican un amplio espacio a la gastronomía y a la celebración de todo tipo de eventos, tanto públicos como privados, como bodas, comuniones o reuniones de empresa.El casino cuenta con mesas de poker, celebrándose a lo largo del año varios torneos, así como una zona destinada a la ruleta americana, al black jack, máquinas de azar, i-tables y apuestas deportivas. La oferta gastronómica se compone de un buffet, un restaurante donde poder degustar de una cena gourmet, un cóctel bar y un café teatro, inspirado en los cafés parisinos del siglo XIX.También dispone de una gran sala de espectáculos, con una capacidad para 2.000 personas, siendo capaz de albergar desde grandes musicales hasta las presentaciones más sencillas. Por su escenario han pasado artistas de la talla de Raphael, Miguel Bosé, Julio Iglesias, Marta Sánchez, David Bisbal, Isabel Pantoja, Joaquín Cortés, Sara Baras, Paloma San Basilio o Los del Río.	40.055614000000	-3.604527400000	Clubs	Calle	de la Unesco	 1	28300
Casino Gran Madrid Colón	Un espacio de más 4000 metros cuadrados distribuidos en cuatro plantas, dedicado al juego. La sucursal del mítico casino de Torrelodones dispone además del restaurante Mandarín, que propone un recorrido gastronómico con la cocina cantonesa y japonesa.Se han creado en el interior espacios exclusivos, atmósferas diferenciadas y una galería cromática que le da un aire sofisticado al casino. Aquí se puede jugar a las clásicas máquinas de azar, hay ruletas, black jack, póker de contrapartida y punto y banca.La oferta gastronómica se completa con el Rhum & Rhum Bar, con una extensa carta de cócteles y rones y la posibilidad de picar algo frío, y el Bond Bar, que ofrece una veintena de propuestas gastronómicas, cuidadas y ligeras, con platos eclécticos y complementarios a la oferta de Mandarin.	40.424491600000	-3.691445800000	Clubs	Calle	de Recoletos	 37 - 41	28004
Casino Gran Vía	En el corazón de la Gran Vía, se encuentra este casino situado en un lujoso edificio art decó construido entre 1919 y 1924, en el que estuvo la sede del Círculo Mercantil Industrial, declarado Patrimonio Artístico. El casino se divide en tres plantas dedicadas al juego donde se puede escoger entre ruletas francesas y americanas, mesas tradicionales de punto y banca, poker y black jack, así como una amplia e innovadora oferta de máquinas de azar y ruletas electrónicas.También cuenta con una amplia variedad de espacios de restauración, compuesta por el Restaurante Círculo Mercantil, el bar lounge La Cúpula, una coctelería y una amplia carta de snacks para tomar en la Sala de Juego.Además, también es posible reservar sus espacios para celebrar eventos privados o de empresa.	40.420115300000	-3.700814800000	Clubs	Calle	Gran Vía	 24	28013
Rockville Madrid	Esta sala de conciertos, situada muy cerca del Paseo de la Castellana, cuenta con un amplio programa de actuaciones musicales de todo tipo, en directo y a diario, en el que la calidad es el denominador común.El local, donde está cuidado hasta el más mínimo detalle, dispone de una amplia barra con taburetes y un banco corrido de madera en el que poder sentarse. Al fondo se sitúa el pequeño escenario en el que se puede disfrutar desde un concierto de pop-rock nacional, a un tributo a The Beatles, pasando por Jam Sessions, Jazz o música indie.Los fines de semana, a partir de la medianoche, tras finalizar el concierto, el local se transforma en un club en el que poder tomar una copa y bailar al ritmo de los éxitos actuales y temas clásicos.Además, Rockville ofrece su espacio para todo tipo de manifestaciones culturales, como exposiciones, presentaciones de libros, eventos o recitales.	40.453986300000	-3.694140200000	Clubs	Calle	de Brasil	 3	28020
Cien por Cien	Este legendario local situado en el distrito de Chamberí abrió sus puertas en 1985. En 1990 cambió de dueño y, desde entonces, se le conoce como un bar de copas en el que poder escuchar en directo la mejor música pop-rock e indie española.Por la sala han pasado importantes figuras de la escena musical española, como Antonio Vega, Loquillo, El Canto del Loco… Sus paredes están decoradas con las fotografías y recuerdos dejados por estos artistas.Reformado en 2019, el actual local cuenta con un mayor espacio para disfrutar la música en directo, ya que el Cien ofrece conciertos todos los días.   	40.437887693083	-3.700826168060	Clubs	Calle	de la Santísima Trinidad	 30	28010
Sácame por Dios	Los creadores del bar – restaurante Válgame Dios son los artífices de este karaoke y piano-bar de Chueca que, al igual que el anterior local, es frecuentado por varios artistas, entre ellos los actores y directores Los Javis, quienes lo han utilizado como uno de sus escenarios para la serie Paquita Salas, o los concursantes de las últimas ediciones de Operación Triunfo, entre otros. El local, que tiene una capacidad para 90 personas, abre todos los días menos los domingos. Entre semana suele haber, además, un día en el que cantantes y músicos noveles y semiprofesionales pueden actuar ante el público.En su decoración se alternan neones rosas con sofás y sillones de terciopelo en tonos pastel y algunos taburetes. Al fondo se sitúa el escenario, presidido por un piano que puede tocar todo aquél que se atreva.Para poder cantar alguno de los temas de su listado de canciones (desde éxitos de los 80 hasta la actualidad) es necesario realizar una consumición, aunque la entrada es gratuita. La selección de la canción se realiza a través de una tablet que es facilitada por los camareros.	40.423358100000	-3.699338000000	Clubs	Calle	de Hernán Cortés	 21	28004
El Lucero	Situado entre el Congreso de los Diputados y el Museo Nacional Thyssen-Bornemisza se encuentra este centro de flamenco y danza en el que, además de impartir cursos y talleres, también organizan espectáculos de flamenco los sábados por la tarde – noche.El centro ofrece clases de baile flamenco, cante flamenco, guitarra y cajón, así como danza española, sevillanas, ballet, danza contemporánea, cursos especiales para niños, yoga, pilates zumba y meditación chi-kung, entre otros.Todos los sábados, de 19:45 a 21:00 h ofrecen un espectáculo flamenco presentado por jóvenes artistas en el que se combina el flamenco de ayer y de hoy, dirigido al público en general. Durante el show se ofrece un aperitivo.El Lucero dispone también de seis salas totalmente equipadas e insonorizadas para realizar grabaciones musicales. 	40.416163300000	-3.695448900000	Clubs	Calle	del Marqués de Cubas	 25	28014
Bam Karaoke Box	Situado en pleno Paseo de Recoletos, el local está inspirado en el concepto del karaoke box asiático y cuenta ya con varias sucursales en París y Burdeos. Esta idea fundada por Arnaud Studer en Francia, en el año 2014, llega a Madrid con un karaoke privado de alta gama en el que poder disfrutar con amigos o familia cantando alguno de los 20 000 temas que componen su catálogo, mientras se degusta sus cócteles exclusivos y tapas.El espacio dispone de siete salas privadas tematizadas, con capacidad desde 4 a 12 personas y una elegante coctelería. Todas ellas cuentan con un equipo de calidad, con altavoces de la marca Bose y micrófonos de la marca Shure. En cada una de ellas se puede acondicionar el ambiente, pudiéndose elegir la intensidad de los colores y la iluminación, así como el volumen de la música.	40.421582400000	-3.688928600000	Clubs	Calle	de Recoletos	 23	28001
