Nombre	Descripcion	Latitud	Longitud	Tipo	Clase_vial	Nombre_vial	Numero_vial	Codigo_postal
Four Seasons Hotel Madrid	Four Seasons Hotel Madrid está ubicado en el Complejo Canalejas, un espacio reformado de más de 50 000 m2 donde anteriormente se situaban siete edificios históricos pertenecientes a antiguos bancos. De ellos, se conservan más de 3700 artefactos y elementos originales que han sido restaurados y reinstalados, incluso cinco cajas fuertes que pertenecieron a las diferentes entidades bancarias sirven ahora como vitrinas de exposición de joyas, excepto una de ellas, que será la entrada al hotel. En este mismo espacio también se encuentran 22 residencias privadas Four Seasons y la Galería Canalejas, un concepto de galería comercial y gastronomía único.Este alojamiento de cinco estrellas cuenta con 200 habitaciones y suites, todas muy espaciosas y con magníficas vistas sobre las calles más céntricas de la ciudad. Algunas de ellas están diseñadas en dos niveles conectados por una pequeña escalera o cuentan con balcones o amplias terrazas privadas, ideales para disfrutar del clima de Madrid. Además, cuenta con una piscina interior, gimnasio 24 h., salón de belleza, obras de arte contemporáneo por todo el hotel y un spa de lujo con cuatro niveles, entre otras muchas más comodidades y servicios.En la azotea y con un estupendo skyline de fondo, se encuentra el restaurante Dani, dirigido por, el galardonado con tres estrellas Michelin, Dani García, una brasserie que ofrece una combinación de platos elegantes, característicos de su restaurante con estrellas Michelin, con platos típicos de la cocina andaluza tradicional.Distribuídos en la primera planta y en el lobby de hotel cuenta con dos espacios gastronómicos más: Isa, con modernas tapas asiáticas, platos pequeños, cocina tradicional y todo tipo de cócteles y El Patio, ubicado en el antiguo patio de operaciones del Banco Central de Crédito, con un menú que incluye grandes clásicos y una amplia selección de dulces y tartas caseras, café recién molido y tés, así como una deliciosa adaptación de los famosos afternoon teas en forma de merienda típica española. 	40.417008900000	-3.700388000000	Alojamientos	Calle	 de Sevilla	 3	28014
Apartahotel Las Matas Tartesos	Este alojamiento forma parte de los hoteles de guardia de la Comunidad de Madrid considerados como servicio esencial según la Orden TMA/305/2020 de 30 de marzo, del Ministerio de Transportes, Movilidad y Agenda Urbana.Situados en Las Rozas, localidad del oeste de la Comunidad de Madrid, se encuentran estos apartamentos totalmente equipados, cuyas zonas comunes también incluyen un gimnasio de uso gratuito, salas para banquetes y reuniones (previo pago), bar y lavandería.Los estudios están totalmente equipados, con aire acondicionado, calefacción y wifi. Disponen de zona de estar con televisión, baño privado con artículos de aseo, y cocina con nevera, vajilla y cubertería. En todos los estudios hay dos camas individuales. El aparcamiento privado es gratuito.Los apartamentos se encuentran a 100 metros de la autopista A – 6, y a 1 km de la estación de tren de Pinar de Las Rozas.	40.531696400000	-3.890689000000	Alojamientos	Calle	Pollensa	 5	28230
Hotel Las Gacelas	Este alojamiento forma parte de los hoteles de guardia de la Comunidad de Madrid considerados como servicio esencial según la Orden TMA/305/2020 de 30 de marzo, del Ministerio de Transportes, Movilidad y Agenda Urbana. En plena naturaleza, en el corazón de la Sierra de Guadarrama y a tan solo 45 kms de Madrid, se encuentra el Hotel Las Gacelas.Este alojamiento ofrece 3 tipos de habitaciones: habitación doble, junior suite y suite noble, todas ellas decoradas con detalles de madera y piedra acordes con el ambiente rural donde se encuentran. El hotel dispone de piscina, pistas de pádel y frontón, dos parkings exclusivos para los clientes totalmente gratuito, además de un restaurante de cocina meditarránea y tradicional.	40.710999500000	-3.994158000000	Alojamientos	Calle	de San Sebastián	 53	28490
Apartamentos Plaza de Santiago	Este alojamiento forma parte de los hoteles de guardia de la Comunidad de Madrid considerados como servicio esencial según la Orden TMA/305/2020 de 30 de marzo, del Ministerio de Transportes, Movilidad y Agenda Urbana.Este edificio de 45 apartamentos turísticos, totalmente renovado y con una fachada del siglo XIX, se encuentra situado en el centro de Pinto, localidad del sur de Madrid, y a tan sólo 300 metros de la estación de cercanías de Renfe, con una línea directa a la Puerta del Sol. Cuenta con 35 estudios dobles, 8 estudios abuhardillados con terraza y 2 suites familiares con terraza.Los apartamentos disponen de baño propio y cocina completa, así como de la posibilidad de hacer uso del servicio de lavandería, previo pago. Se realiza una limpieza semanal con cambio de sábanas y toallas.Cerca del inmueble también está el autobús lanzadera al Parque Warner, que en coche se encuentra a 10 minutos, al igual que la sede central de Airbus, o el Centro Comercial Nassica Style Outlet.	40.245518600000	-3.700417400000	Alojamientos	Calle	de Santiago	 3	28320
Apartahotel TH Las Rozas	Este alojamiento forma parte de los hoteles de guardia de la Comunidad de Madrid considerados como servicio esencial según la Orden TMA/305/2020 de 30 de marzo, del Ministerio de Transportes, Movilidad y Agenda Urbana.Ubicado a 7 km de las Rozas y a menos de 20 km de Madrid, el ApartaHotel TH Las Rozas cuenta con apartamentos de 1 dormitorio para 2 o 3 personas y habitaciones dobles y triples.Todas sus habitaciones y apartamentos estan equipados con aire acondicionado, calefacción, TV vía satélite, escritorio, zona de estar y baño elegante. Dispone de recepción de 24 horas y máquinas expendedoras. También ofrece un desayuno buffet y conexión WiFi gratuita.	40.484121100000	-3.856662800000	Alojamientos	Calle	Camino Viejo de Madrid	 38	28230
Apartamentos Suites Florida	Este alojamiento forma parte de los hoteles de guardia de la Comunidad de Madrid considerados como servicio esencial según la Orden TMA/305/2020 de 30 de marzo, del Ministerio de Transportes, Movilidad y Agenda Urbana.En un enclave estratégico, junto a la M-40, próximo al aeropuerto y a IFEMA, y a menos de 15 km del centro histórico de Madrid, se encuentra esta urbanización cerrada.Este alojamiento esta compuesto por 4 bloques con un total de 325 apartamentos (240 de 1 dormitorio, 85 de 2 dormitorios), zonas ajardinadas, piscina, pista de padel, parque infantil, WIFI gratuito y plazas de garaje lo que le convierte en un lugar ideal tanto para periodos vacacionales, viajes de trabajo o larga duración.	40.449062300000	-3.582653300000	Alojamientos	Calle	Campezo	 2. Pol. Ind. Las Mercedes 	28022
Apartamentos Suites Aeropuerto	Este alojamiento forma parte de los hoteles de guardia de la Comunidad de Madrid considerados como servicio esencial según la Orden TMA/305/2020 de 30 de marzo, del Ministerio de Transportes, Movilidad y Agenda Urbana. En una situación estratégica, junto a la M-40, próximo al aeropuerto y a IFEMA, y a menos de 15 km del centro histórico de Madrid, se encuentran este conjunto de 300 apartamentos.Cuentan con viviendas de de 1 ó 2 dormitorios provisto de zonas ajardinadas, piscina, gimnasio, WIFI gratuito y plazas de garaje, además ofrecen servicio de shuttle desde el aeropuerto.	40.446415000000	-3.583444300000	Alojamientos	Calle	Campezo	 8. Pol. Ind. Las Mercedes 	28022
Tryp Madrid Airport Suites	Este alojamiento forma parte de los hoteles de guardia de la Comunidad de Madrid considerados como servicio esencial según la Orden TMA/305/2020 de 30 de marzo, del Ministerio de Transportes, Movilidad y Agenda Urbana.El Complejo TRYP Madrid Airport es un moderno establecimiento muy próximo al Aeropuerto de Madrid-Barajas Adolfo Suárez y a tan solo 15 minutos de la Feria de Madrid.Cuenta con amplias y espaciosas suites-apartamentos de 30m2 y 60m2, con 1 ó 2 dormitorios respectivamente, por lo que se convierte en un hotel ideal para familias y grupos de amigos para estancias largas o vacaciones. Además, dentro de la instalaciones del hotel se puede disfrutar de piscina climatizada y pista de pádel. 	40.445569200000	-3.543607400000	Alojamientos	Calle	Lola Flores	 4 - 17	28022
 Room Mate Macarena	Situado en plena Gran Vía madrileña, y diseñado por el  arquitecto y diseñador Tomás Alía, este hotel cuenta con 130 habitaciones, divididas en 5 categorías: standard, standard superior, standard con vistas, superior con vistas y suite. Todas ellas equipadas con baño privado, aire acondicionado/calefacción, minibar, escritorio y algunas con vistas a Gran Vía.En este hotel, además, los huéspedes pueden disfrutar servicios innovadores como el desayuno siempre hasta las 12 del mediodía y wifi gratis en toda la ciudad, entre otros.	40.420589000000	-3.706897000000	Alojamientos	Calle	Gran Vía	 43 	28013
Hotel Riu Plaza España	Situado en el emblemático Edificio España, entre la Gran Vía y la calle Princesa, se encuentra este lujoso hotel de cuatro estrellas perteneciente a la cadena hotelera RIU Hotels & Resorts, de 27 plantas y 583 habitaciones, que ofrece unas increíbles vistas de la ciudad desde la terraza de su azotea.Todas las habitaciones disponen de mini nevera, aire acondicionado y calefacción, caja fuerte electrónica y con un kit de cortesía, entre otras muchas facilidades.El hotel cuenta con wifi gratuito en todas sus instalaciones, con 17 salas de reuniones, gimnasio abierto 24 horas, una piscina exterior climatizable (exclusiva para sus clientes en la planta 21, abierta en temporada estival), un restaurante, un lobby bar y dos magníficos Sky Bar: De Madrid al Cielo, situado en la planta 26 y ambientado en la Movida Madrileña, y el 360º Roof Top Bar, situado en la planta más alta del hotel, desde el que poder disfrutar de unas vistas panorámicas de 360º de la ciudad, así como pasear sobre una espectacular pasarela de cristal que permite caminar literalmente sobre el cielo de Madrid.	40.423829900000	-3.710869300000	Alojamientos	Calle	Gran Vía	 84	28013
Bluesock Madrid	Ubicado en un edificio histórico de la Gran Vía, próximo a la Plaza de Cibeles, este alojamiento del grupo hotelero Carrís ocupa tres plantas que se caracterizan por el diseño y la modernidad. El albergue cuenta con 33 habitaciones, repartidas en una de las plantas, con un aforo total para 200 clientes. Las habitaciones se dividen en estancias privadas, que van desde habitaciones dobles a amplias suites con hasta 4 plazas, con baño incorporado, y en habitaciones compartidas con 2, 4, 6, 8 y 10 camas, mixtas o de uso exclusivamente femenino, con baño en el exterior. En todas ellas hay literas equipadas con cortina, luz privada, estantería y enchufe individual.En las otras dos plantas se distribuyen las zonas comunes, con una recepción abierta 24 horas, personal multilingüe, un salón común, zona de bar donde se sirve un desayuno de buffet libre, consigna y varias máquinas expendedoras de bebidas y comidas.	40.419516700000	-3.697880200000	Alojamientos	Calle	Gran Vía	 6	28013
