Nombre	Descripcion	Latitud	Longitud	Tipo	Clase_vial	Nombre_vial	Numero_vial	Codigo_postal
PHotoESPAÑA Gallery	El Barrio de las Letras acoge este nuevo espacio permanente de venta de obra fotográfica de PHotoESPAÑA, Festival Internacional de Fotografía y Artes Visuales. En él se podrá adquirir la obra de una variada selección de autores nacionales e internacionales, de diferente formato, técnicas y estilos, de los siglos XX y XXI, desde clásicos como Català-Roca, Carlos Saura, William Klein o Barbara Brandli, a otros grandes nombres de la fotografía como Bernard Plossu, Ron Galella, Miguel Trillo, Javier Campano, Alex Weeb o Marta Soul.El espacio, dividido en dos salas multifuncionales, ofrece, además, un interesante programa de exposiciones individuales, que se alterna con una sección denominada “Portolio”, centrada en un autor o proyecto concreto, tanto de artistas reconocidos como emergentes, en los que destaca la excelencia artística y la originalidad.A su vez, en el Campus PHotoESPAÑA Gallery cuentan con una programación de cursos especializados, seminarios, talleres exprés y charlas, tanto online como presenciales, diseñados para todo tipo de públicos con los que aprender, divertirse y contactar con otros profesionales.Los AMIGOS de PHotoESPAÑA, tienen en este centro su punto de encuentro, un lugar donde trabajar junto con otros profesionales, colaborar y formar una comunidad amplia y diversa. Podrán hacer uso de la biblioteca, especializada en fondos fotográficos, con préstamos a impulsores y protectores, así como de la sala de reuniones, disponible para conectar personas, empresas y organizaciones y que generen impacto positivo a través de su actividad profesional. 	40.411733100000	-3.693751500000	Tiendas	Calle	de la Alameda	 9	28014
Tienda-librería del Museo Nacional Thyssen-Bornemisza	El Museo Nacional Thyssen-Bornemisza dispone de esta tienda-librería en la que se pueden adquirir una amplia gama de productos y publicaciones relacionados siempre con las colecciones del museo y las exposiciones temporales que en él se programan. En su mayoría, son productos diseñados y producidos de forma exclusiva para el museo.Entre los objetos que se pueden adquirir se encuentran artículos de decoración y del hogar, ropa y complementos, láminas, joyería, publicaciones, juguetes, artículos de papelería, etc…El acceso a la tienda es libre, sin necesidad de adquirir previamente la entrada al museo. Además, la tienda también tiene su versión online en la web oficial del museo, en la que se encuentra una muestra de la amplia gama de productos y publicaciones con la que cuentan en la tienda física.	40.416039700000	-3.694942500000	Tiendas	Calle	del Prado	 8	28014
Lata Peinada	Situada entre Chueca y Malasaña, esta librería inaugurada en noviembre de 2020 es la primera de la ciudad dedicada a la literatura latinoamericana. En ella se puede encontrar una amplia selección de narrativa, poesía y ensayo de autores latinoamericanos, tanto obras actuales como clásicas, así como obras procedentes de editoriales independientes y títulos especialmente elegidos que llegan por primera vez a España. Pero la Lata Peinada no es una librería cualquiera. Sus artífices, los argentinos Ezequiel Naya y Paula Vázquez, han creado un espacio cultural dinámico en el que se promueven actividades como talleres de escritura, club de lectura, presentaciones de libros, además de un Festival de Literatura Latinoamericana. Cuentan con un catálogo artesanal, en el que el  50% de los libros que importan no tienen distribución en España, una estantería con obras que ellos califican de “joyitas” de la literatura latina, y con una zona de cafetería en la que poder disfrutar del clásico tostado argentino, además de café, cerveza de grifo, vinos, tartas, galletas o cruasanes.La Lata Peinada abrió su primera sucursal en 2019 en Barcelona, en el barrio del Raval,	40.427215200000	-3.701157300000	Tiendas	Calle	de Apodaca	 6	28004
Depapel	Situada en la zona de Salesas, entre Alonso Martínez y la plaza de Colón, se encuentra esta papelería especializada, donde poder realizar encargos singulares y especiales, personalizándolos hasta el último detalle. En ella se pueden encontrar todo tipo de artículos de papelería de alta gama.Entre sus productos se encuentran álbumes de fotos y de firmas  hechos de manera artesanal; todo lo necesario para hacer caligrafía, desde plumas a tintas; papeles de todo tipo y colores: carpetas de distintos materiales y formatos; cuadernos de todos los tamaños y con diseños exclusivos; objetos de papelería originales; papeleras, estuches, bandejas, abanicos, cestos, bolsos, adornos navideños, y diversos objetos para hacer regalos originales.Depapel ofrece la posibilidad de encargar caligrafía personalizada para diversos usos; personalizar cintas con logotipos o diseños especiales; imprimir en offset, digital, relieve, letterpress, stamping, con láser, serigrafía o barniz en todo tipo de soportes, entre otros trabajos.	40.426134000000	-3.695170700000	Tiendas	Calle	Justiniano	 7	28004
Galería Canalejas	Situada en el antiguo Palacio de la Equitativa, entre las calles Alcalá y Sevilla, se ubica esta exclusiva galería comercial, el nuevo icono del lujo en el corazón de Madrid. En ella se podrán encontrar más de 40 boutiques de moda, complementos, perfumería y alta joyería y relojería de las firmas de lujo más prestigiosas de todo el mundo, así como una gran oferta gastronómica con propuestas elaboradas por reconocidos chefs estrella Michelin.Galería Canalejas contará con una superficie de 15 000 m2 distribuidos en tres niveles. Las plantas baja y primera estarán dedicadas a la actividad comercial. En la planta subterránea, con acceso directo desde la calle, se encontrará el Food Hall de Galería Canalejas, con más de 4 000 m2, con una oferta gastronómica única en Madrid, con más de 15 restaurantes de diferentes especialidades y nacionalidades liderados por los mejores chefs nacionales e internacionales, que ofrecerán una experiencia gastronómica única.En su primera fase de apertura, el 1 de octubre de 2020, se inauguró la tienda de la firma francesa Hermès, con acceso directo desde la calle, a la que se sumarán el resto de tiendas en el primer semestre de 2021.          Galería Canalejas forma parte del proyecto Centro Canalejas Madrid (CCM), impulsado por OHL Desarrollos y Mohari Hospitality, que ha unido en un solo inmueble siete edificios históricos del centro de la ciudad, y que acoge, además de a Galería Canalejas, al primer hotel Four Seasons de España, recientemente inaugurado, 22 branded residences y un nuevo parking con más de 400 plazas.	40.416928800000	-3.700458300000	Tiendas	Calle	de Canalejas	 1	28014
Hard Rock Cafe	Hard Rock Café Madrid abrió sus puertas hace 25 años en el Paseo de la Castellana, 2, junto a la Plaza de Colón. A su inauguración acudió hasta el gran Chuck Berry. Desde entonces, en este emblemático local se ha podido disfrutar de una oferta gastronómica 100% americana y de las actuaciones de importantes artistas nacionales e internacionales. Ahora, tras haberse mudado en septiembre de 2020, continúa ofreciendo su icónico merchandising desde el corazón de la calle de Preciados.El nuevo local, más pequeño que el anterior, se divide en dos plantas que suman 215 m2 dedicados a la venta de productos con tintes rockeros. En él se pueden seguir adquiriendo sus populares sudaderas y camisetas, productos de edición limitada y coleccionables, diseños exclusivos de artistas influyentes o pins conmemorativos.Actualmente, el restaurante no está abierto pero sí se puede disfrutar de sus propuestas gastronómicas gracias a sus servicios de recogida en el local, situado en el Mercado de Barceló, y del envío a domicilio.	40.418441400000	-3.705139900000	Tiendas	Calle	de Preciados	 11	28013
La Comunal	En el barrio de Chueca se encuentra esta tienda gourmet dedicada al aceite de oliva virgen extra, en la que se pueden encontrar más de un centenar de variedades de aceites. Tras una reforma realizada durante 2020, el local cuenta con una imagen actual, interactiva y digital, que permitirá conocer a los clientes qué es lo que se encuentra en cada botella de aceite.La Comunal dispone de unas 270 etiquetas diferenciadas entre variedades y regiones de procedencia. A la entrada, se encuentra una selección de ocho AOVES que irá cambiando periódicamente, con información sobre la marca y sus características. Además, el local organiza charlas con profesionales, experiencias interactivas y catas (en un espacio acondicionado en su planta baja).La tienda pertenece a la Fundación Patrimonio Comunal Olivarero, una entidad privada sin ánimo de lucro que se dedica a realizar todo tipo de iniciativas que benefician al sector olivarero.	40.426199800000	-3.697727200000	Tiendas	Calle	de Mejía Lequerica	 1	28004
Vintalogy 	"Tienda dedicada a ropa vintage y de segunda mano ubicada en el barrio de Malasaña.Este espacio dirigido por los responsables del Mercado de Motores y diseñado por Enorme Estudio, siguiendo el lema ""usar y usar de nuevo"", lleva principalmente ropa usada y descontinuada, zapatos y accesorios. Todos los artículos están en buen estado y han sido sometidos a un lavado especial, desodorización y planchado y se ven a estrenar. Algunas de las marcas que se pueden encontrar son: Adidas, Nike, Fila, Lacoste, Levis, Wrangler, Lee, Alpha Industries y entre otras.La cadena de ropa Vintalogy tiene dos tiendas más en Madrid ubicadas en la calle Príncipe, 9 y en el Centro Comercial X Madrid además de la tienda Archive Sneakers dedicada a zapatillas deportivas de segunda mano en la calle Infantas,40."	40.427127200000	-3.699550600000	Tiendas	Calle	 Barceló	 13	28004
Carmen17	En pleno centro de Madrid, entre la Puerta del Sol y la plaza de Callao, se encuentra este estudio de diseño y realización de vestuario escénico, audiovisual, ropa a medida y prêt-a porter, creado por Sofía Nieto (diseñadora, licenciada en escenografía por la RESAD y docente en IED y TAI) y Arancha Rodrigálvarez (Graduada en Moda por la Saint Martin’s y docente en IED). Desde 2013, año en que fue inaugurado el taller, Carmen17 ha cosechado grandes éxitos, trabajando para varias producciones audiovisuales y escénicas. Como estudio de ropa a medida, confecciona diseños para mujeres y hombres, todo elaborado con tejidos Tencel, de impacto medioambiental reducido, y algodón orgánico. Su etiquetado interior se realiza mediante sello a mano, prenda por prenda. Los materiales para el empaquetado también son sostenibles.Entre los trabajos que salen de este original atelier se encuentran desde los modelos de su colección CURIE a vestidos de novia, trajes de caballero o trajes renovados de chulapa y chulapo.La marca nació con la filosofía del comercio local, con productos elaborados a mano en condiciones laborales justas, dando valor a la creación artesanal a precios asequibles.En su taller físico se puede ver un pequeño stock de su colección, que se puede adquirir en su tienda online (https://carmen17.com/tienda/), donde además se puede encontrar información sobre la prenda y los procesos de confección, así como del trabajo en general de Carmen17.	40.418343700000	-3.704466000000	Tiendas	Calle	del Carmen	 17	28013
ZARA (Gran Vía)	Desde 1987, la popular firma española de moda del grupo INDITEX cuenta con esta tienda en la que es, posiblemente, la calle más famosa de Madrid, la Gran Vía. Se encuentra situada en un edificio emblemático en el que se fusiona modernidad y clasicismo, dedicado a uso comercial y hotelero desde 1925, fecha en la que lo reformó el conocido arquitecto Antonio Palacios. Ha sido escenario de la serie Velvet, emitida en Antena 3.Reformada en 2013, la decoración de la tienda destaca por la simplicidad para que sean las colecciones las que tomen todo el protagonismo. En ella se pueden encontrar sus colecciones de señora, caballero y niño.	40.420464700000	-3.704030000000	Tiendas	Calle	Gran Vía	 34	28013
