Nombre	Descripcion	Latitud	Longitud	Tipo	Clase_vial	Nombre_vial	Numero_vial	Codigo_postal
Barracuda MX	El chef mexicano Roberto Ruiz, que consiguió la primera estrella Michelin para la cocina mexicana en Europa con su desaparecido Punto MX, presenta su proyecto más personal con este restaurante próximo al Parque de El Retiro, en el que ofrece una propuesta variada en un ambiente que traslada al comensal al Pacífico mexicano y a sus sabores más desconocidos. Un nuevo concepto de negocio, adaptado a los nuevos tiempos, con mayor aforo, abierto todos los días de la semana, precios más asequibles, que incorpora una barra de bar en la que poder disfrutar también de tapas mexicanas.Para este proyecto cuenta con Tatiana Allard como jefa de cocina, Maggie Bañuelos como jefa de sala e Inés Cabanas Casas, como sumiller y encargada de la bodega. Juntos proponen una cocina fresca y ligera, sin elaboraciones complejas, pero con técnicas propias del litoral, y con la presencia del pescado y el marisco como elementos principales, aunque no únicos. En su carta, más reducida, no faltan sus famosas tortillas de maíz, elaboradas de manera artesanal y diaria.En cuanto a la carta líquida, en ella se observa una cuidada selección de vinos, entre espumosos, blancos y generosos, así como una gran variedad de tequilas y mezcales.El local ha sido decorado por el estudio de interiorismo Cousi. Con un aforo para unos 100 comensales, está presidido por una gran barra central, con tonos azules que recuerdan al agua del mar. Dispone de dos salas separadas por un pasillo, en las que se combinan elementos naturales de materiales nobles con otros tradicionales, que aportan sofisticación sin alardes.	40.419026700000	-3.689285300000	Restaurantes	Calle	de Valenzuela	 7	28014
Aloha Poké	Cadena de restaurantes especializados en poké bowls. En la ciudad de Madrid cuenta con 9 establecimientos situados en: C/ Libertad, 17, Av. Felipe, II, 8, C/ Corredera Alta de San Pablo, 5, C/ María de Molina 16, C/ San Germán, 12, C/ Guzmán el Bueno 73, C/ María Tubau, 19, C/ Ronda de Valencia, 14, C/ López de hoyos, 153.	40.424719900000	-3.702104100000	Restaurantes	Calle	Corredera Alta de San Pablo	 5	28004
Loco Antonelli	Muy cerca de la Plaza de Olavide, en Chamberí, este restaurante, distinguido como Bib Gourmand por la Guía Michelin por su buena relación calidad / precio, ofrece una gastronomía portuaria dedicada, principalmente, al pescado y marisco de temporada, mezclada en muchos platos con la cocina castiza madrileña, como las cocochas de merluza con salsa de callos y huevo frito, o la merluza con pocha, morro y pata de ternera. Nació como un pequeño puesto en la Chispería del Mercado de Chamberí y, en 2018, se mudó a su actual ubicación.El local, decorado por Flavia Castaño y con dibujos hechos a mano por Jair Leal, cuenta con muchos motivos marineros en recuerdo de Juan Bautista Antonelli, ingeniero italiano al servicio de Felipe II y artífice del gran proyecto de transformar Madrid en un puerto de mar, conectando el río Manzanares con el océano Atlántico, de quien han adoptado el nombre.El chef mexicano Sergio Monge es el artífice de una carta compuesta por platos marineros aderezados con toques madrileños o incluso canarios, como su pulpo a la guanche. Pero también hay espacio para propuestas de corte internacional como el chilli crab de Singapur o el poke hawaiano. También cuenta con platos fuera de carta y una buena selección de vinos y cócteles.	40.432042900000	-3.701829900000	Restaurantes	Calle	de Olid	 15	28010
Tripea	Situado dentro del Mercado de Vallehermoso, este pequeño local, situado a lo largo de tres puestos, ofrece una propuesta gastronómica que fusiona los sabores del Perú con los del sudeste asiático, lo que unido a su buena relación calidad / precio le ha valido la distinción Bib Gourmand otorgada por la Guía Michelin. El chef Roberto Martínez Foronda se encuentra detrás de este restaurante. Su recorrido profesional le ha llevado a trabajar con Darío Barrio, Andrés Madrigal y Joan Roca. En Perú aprendió los secretos de la cocina nikkei en espacios como Malabar y Maido. En España, fundó Nakeima y trabajó con Luis Arévalo en Kena.Tripea cuenta con una larga barra con varios taburetes, por lo que es imprescindible reservar. En ambas zonas se puede disfrutar tanto de su carta como de su menú degustación, compuesto por 7 pasos pensados para compartir, única opción todas la noches de martes a sábado y los mediodías de sábados y festivos.	40.434101200000	-3.708283400000	Restaurantes	Calle	de Vallehermoso	 36	28015
Castelados	Inaugurado en el otoño de 2016, este local es el hermano pequeño del restaurante La Castela, situado muy cerca, también en el distrito de Retiro. Con un toque más moderno que su predecesor, en este establecimiento se ofrecen raciones contundentes elaboradas con productos de primera calidad, que se sirven tanto en barra como en el comedor. Por su excelente calidad / precio, ostenta desde algunos años la distinción Bib Gourmand que otorga la Guía Michelin.El local cuenta con una gran barra, de estaño y con un frontal de piedra, con varios taburetes a lo largo de ella. Alrededor se encuentran mesas altas. El comedor, muy amplio, está separado por un tabique y dispone de mucha luz natural. Cabe destacar el precioso suelo, tanto en barra como en el comedor, elaborado con piedras de cerámica Palladiana.La carta se compone de varias propuestas tradicionales que han sido actualizadas, en las que el producto destaca por su sabor y la sencillez de su elaboración.	40.420884500000	-3.679096700000	Restaurantes	Calle	de Antonio Acuña	 18	28009
La Maruca	De la mano de Paco Quirós y Carlos Crespo, dos destacados empresarios hosteleros cántabros, este restaurante, que cuenta con la distinción Bib Gourmand de la Guía Michelin, ofrece lo más destacado de la gastronomía cántabra en una versión actualizada en una carta que cuenta con productos de calidad a muy buen precio. Su amplio horario de apertura permite tomar desde un gran desayuno hasta una copa después de cenar.El amplio local cuenta con dos plantas, a su vez divididas en varias estancias con ambientes diferentes. En su decoración, creada por el estudio de arquitectura Zooco, predomina la madera y múltiples motivos que recuerdan a Santander. Una de sus zonas más destacadas es la entrada, donde se encuentra una terraza cubierta con suelo climatizado en la que poder comer hasta en invierno. También dispone de un reservado.La Maruca tiene otra sede en el Paseo de la Castellana, 212.	40.427515400000	-3.683618400000	Restaurantes	Calle	de Velázquez	 54	28001
La MaMá Restaurante	Este rincón de Salamanca que abrió en 2015 en el distrito de Chamberí, muy cerca de Nuevos Ministerios, de la mano del chef Marcos Turanzo y la sumiller María Brufau, destaca por su cocina de tradición renovada, donde los sabores recuerdan a la cocina casera de siempre elaborada con un toque innovador. Por su gran relación calidad / precio, ha sido galardonada, por segundo año consecutivo, con la distinción Bib Gourmand de la Guía Michelin, en su edición de 2021.El local cuenta con un salón principal con aforo para 30 comensales, así como con una barra y algunas mesas altas. En su decoración predomina el ladrillo, el color blanco y el verde de la vegetación, dotándole de una sensación de tranquilidad que busca la desconexión con el bullicio de Madrid. Dispone también de un reservado para 15 personas, diseñado para comidas y fiestas privadas o de empresa.   Su carta no es muy grande pero cuenta con platos elaborados con productos de mercado y de temporada, cocinados con mimo y cariño. Muchos de ellos se pueden pedir en media ración.	40.444467500000	-3.696696700000	Restaurantes	Calle	de María Panes	 6	28003
Quinqué	Los chefs Carlos Griffo y Miguel García, con amplia experiencia en destacados restaurantes como La Bien Aparecida, Bibo, Casa Marcial o Streetxo, inauguraron en 2019 este local próximo a la Plaza de Castilla, en el que ofrecen una cocina tradicional renovada, con el producto como protagonista de platos sencillos pero deliciosos. La edición 2021 de la Guía Michelin les ha otorgado la distinción Bib Gourmand por su buena relación calidad / precio.El local, muy luminoso gracias a sus grandes ventanales, está dividido en tres espacios diferenciados: una pequeña zona de barra con unas pocas mesas; la sala principal, más amplia y la terraza, con gran éxito en verano. Su decoración es cálida y familiar, con la presencia de varios quinqués, que dan nombre al restaurante.La carta cambia a diario, salvo algunos platos fijos, en función de los productos de temporada que encuentren, siempre frescos y de calidad. La propuesta se completa con una carta de vinos pequeña pero bien seleccionada, en la que se puede escoger entre las principales referencias españolas.	40.463505200000	-3.684131400000	Restaurantes	Calle	de Apolonio Morales	 3	28036
Saddle	Ocupando el local en el que estuvo el afamado y lujoso Jockey, Saddle abrió sus puertas en el otoño de 2019 para convertirse en un clásico contemporáneo de la restauración madrileña. Un espacio de 1600 metros cuadrados divididos en dos plantas que ha sido reconocido con una estrella Michelin en la edición de 2021 gracias al trabajo del chef Adolfo Santos, artífice de una carta basada en un producto de máxima calidad y de temporada.Saddle cuenta con un gran comedor sofisticado y luminoso, donde predominan los materiales nobles, como el mármol, la madera o el latón. En él destaca su imponente lucernario, que lo cubre completamente y que le otorga un sistema de climatización por geotermia que permite la renovación del aire constante de forma limpia y segura, y su jardín interior.También dispone de una zona de bar, más informal, con una propuesta enfocada a la barra de producto, de gran calidad y poca elaboración. Éste se podrá maridar con una carta de más de   200 champagnes y una gran variedad de cócteles de temporada, que fusionan la coctelería clásica con las tendencias actuales, creados por el barman Alberto Fernández.En su planta baja se encuentran los cinco reservados, donde se puede disfrutar de un ambiente más íntimo y discreto, pero con la misma propuesta gastronómica que en el salón. Con una capacidad que oscila de 2 a 24 personas según el reservado, disponen dentro de ellos, además, de zonas de estar.             Además de poder disfrutar de platos de carta, Saddle cuenta con menús para grupos y un menú degustación.	40.427422380750	-3.691116571426	Restaurantes	Calle	Amador de los Ríos	 6	28010
Bocanegra	Este espacio gastronómico situado en el Palacio del Marqués de Casa Riera, próximo a la plaza de Cibeles y a las calles Alcalá y Gran Vía, presenta dos propuestas gastronómicas diferentes que conviven en un mismo lugar: por un lado, hay un restaurante interior de cocina mediterránea con toques internacionales, cuya carta está pensada para compartir, y por otro, en el jardín del palacio, donde se encuentran las terrazas, una exterior y otra climatizada, con carta propia más informal.El interior del restaurante destaca por una decoración en la que proliferan los tonos turquesas y verdes, tanto en las paredes como en los bancos y en las mesas, elaboradas con azulejos italianos incrustados, así como en la vajilla. La vegetación está muy presente, tanto en las paredes como en los techos, evocando las plantas marinas. Las terrazas están decoradas de manera fresca y sencilla, con presencia del mimbre, la madera y césped artificial.Bocanegra ofrece una gran variedad de servicios, desde desayunos a menú del día, sin olvidar el picoteo en sus terrazas, y una gran selección de cócteles. Entre sus platos caben destacar sus arroces, pescados y carnes, así como sus hamburguesas selectas.	40.418269800000	-3.696180400000	Restaurantes	Calle	del Marqués de Casa Riera	 1	28014
